Exp,Slide,Category,Depth
M1,s01,scd,244.608
M1,s01,scd,209.539
M1,s01,scd,278.137
M1,s01,scd,284.02
M1,s01,scd,302.034
M1,s01,scd,308.371
M1,s01,scd,306.994
M1,s01,scd,351.427
M1,s01,scd,377.149
M1,s01,scd,430.41
M1,s01,scd,362.18
M1,s01,scd,389.548
M1,s01,scd,352.754
M1,s01,scd,326.511
M1,s01,scd,311.963
M1,s01,scd,306.662
M1,s01,scd,314.107
M1,s01,scd,349.739
M1,s01,scd,420.156
M1,s01,scd,455.856
M1,s01,scd,473.675
M1,s01,scd,582.139
M1,s01,scd,271.932
M1,s01,scd,363.573
M1,s01,scs,87.314
M1,s01,scs,68.915
M1,s01,scs,90.433
M1,s01,scs,26.705
M1,s01,scs,85.156
M1,s01,scs,130.142
M1,s01,scs,39.638
M1,s01,scs,38.095
M1,s01,scs,11.161
M1,s01,scs,28.042
M1,s01,scs,11.161
M1,s01,scs,5.581
M1,s01,scs,11.838
M1,s01,scs,12.726
M1,s01,scs,9.503
M1,s01,scs,14.228
M1,s01,scs,8.371
M1,s01,scs,54.364
M1,s01,scs,81.35
M1,s01,scs,79.628
M1,s01,scs,91.025
M1,s01,scs,94.87
M1,s01,scs,18.718
M1,s01,scs,32.54
M1,s01,scs,111.751
M1,s01,scs,159.007
M1,s01,scs,157.294
M1,s01,scs,184.433
M1,s01,scs,170.632
M1,s01,scs,215.503
M1,s01,scs,79.325
M1,s01,scs,65.509
M1,s01,scs,98.833
M1,s01,scs,95.336
M1,s01,scs,109.818
M1,s01,scs,146.802
M1,s01,scs,154.376
M1,s01,scs,146.084
M1,s01,scs,172.371
M1,s01,scs,184.226
M1,s01,scs,192.497
M1,s01,scs,181.265
M1,s01,scs,234.311
M1,s01,scs,206.3
M1,s01,scs,254.895
M1,s01,scs,265.804
M1,s01,scs,270.102
M1,s01,scs,15.435
M1,s01,scs,13.028
M1,s01,scs,86.427
M1,s01,scs,77.175
M1,s01,scs,109.257
M1,s01,scs,137.813
M1,s01,scs,137.813
M1,s01,scs,154.315
M1,s01,scs,102.673
M1,s01,scs,171.352
M1,s01,scs,190.595
M1,s01,scs,237.617
M1,s01,scs,287.258
M1,s01,scs,308.338
M1,s01,scs,162.968
M1,s01,scs,231.24
M1,s01,scs,263.486
M1,s01,scs,113.307
M1,s01,scs,10.29
M1,s01,scs,95.524
M1,s01,scs,87.634
M1,s01,scs,125.494
M1,s01,scs,114.504
M1,s01,scs,239.643
M1,s01,scs,93.13
M1,s01,scs,68.734
M1,s01,scs,43.817
M1,s01,scs,149.706
M1,s01,scs,143.438
M1,s01,scs,139.726
M1,s01,scs,155.08
M1,s01,scs,191.048
M1,s01,scs,192.222
M1,s01,scs,227.315
M1,s01,scs,202.602
M1,s02,scd,258.941
M1,s02,scd,232.71
M1,s02,scd,273.67
M1,s02,scd,303.133
M1,s02,scd,314.758
M1,s02,scd,253.805
M1,s02,scd,246.109
M1,s02,scd,251.125
M1,s02,scd,229.893
M1,s02,scd,401.64
M1,s02,scd,347.273
M1,s02,scd,362.874
M1,s02,scd,344.626
M1,s02,scd,365.271
M1,s02,scd,355.55
M1,s02,scd,381.143
M1,s02,scd,370.248
M1,s02,scd,382.016
M1,s02,scd,379.848
M1,s02,scd,412.02
M1,s02,scd,407.534
M1,s02,scd,391.788
M1,s02,scd,457.615
M1,s02,scd,446.524
M1,s02,scd,345.258
M1,s02,scd,321.445
M1,s02,scd,325.749
M1,s02,scd,340.664
M1,s02,scd,355.255
M1,s02,scd,374.692
M1,s02,scd,378.675
M1,s02,scd,345.258
M1,s02,scd,315.104
M1,s02,scd,307.575
M1,s02,scd,439.531
M1,s02,scd,391.843
M1,s02,scd,412.933
M1,s02,scd,461.613
M1,s02,scd,415.73
M1,s02,scd,427.757
M1,s02,scd,439.233
M1,s02,scd,416.207
M1,s02,scd,444.237
M1,s02,scd,460.971
M1,s02,scd,480.58
M1,s02,scd,502.378
M1,s02,scd,516.956
M1,s02,scd,461.613
M1,s02,scd,457.002
M1,s02,scd,358.987
M1,s02,scd,212.355
M1,s02,scd,282.954
M1,s02,scd,171.937
M1,s02,scd,301.913
M1,s02,scd,355.557
M1,s02,scd,375.056
M1,s02,scd,387.216
M1,s02,scd,497.812
M1,s02,scd,513.248
M1,s02,scd,528.425
M1,s02,scd,493.5
M1,s02,scd,561.134
M1,s02,scd,578.262
M1,s02,scd,557.816
M1,s02,scs,8.371
M1,s02,scs,21.828
M1,s02,scs,127.873
M1,s02,scs,95.442
M1,s02,scs,89.289
M1,s02,scs,130.59
M1,s02,scs,118.415
M1,s02,scs,144.255
M1,s02,scs,73.114
M1,s02,scs,126.92
M1,s02,scs,182.498
M1,s02,scs,166.713
M1,s02,scs,107.17
M1,s02,scs,15.078
M1,s02,scs,16.973
M1,s02,scs,114.911
M1,s02,scs,113.06
M1,s02,scs,140.21
M1,s02,scs,132.907
M1,s02,scs,161.788
M1,s02,scs,152.799
M1,s02,scs,156.818
M1,s02,scs,100.023
M1,s02,scs,8.998
M1,s02,scs,21.213
M1,s02,scs,19.73
M1,s02,scs,27.368
M1,s02,scs,80.687
M1,s02,scs,115.046
M1,s02,scs,128.28
M1,s02,scs,121.145
M1,s02,scs,188.306
M1,s02,scs,221.5
M1,s02,scs,232.278
M1,s02,scs,245.773
M1,s02,scs,222.887
M1,s02,scs,236.609
M1,s02,scs,276.032
M1,s02,scs,225.119
M1,s02,scs,123.789
M1,s02,scs,170.331
M1,s02,scs,179.695
M1,s02,scs,186.444
M1,s02,scs,185.439
M1,s02,scs,190.868
M1,s02,scs,20.314
M1,s02,scs,95.034
M1,s02,scs,130.971
M1,s02,scs,116.017
M1,s02,scs,206.304
M1,s02,scs,254.831
M1,s02,scs,291.015
M1,s02,scs,317.369
M1,s02,scs,359.384
M1,s02,scs,248.495
M1,s02,scs,262.376
M1,s02,scs,180.193
M1,s02,scs,198.816
M1,s02,scs,122.219
M1,s02,scs,120.913
M1,s02,scs,117.066
M1,s02,scs,24.229
M1,s02,scs,110.214
M1,s02,scs,124.997
M1,s02,scs,40.493
M1,s02,scs,29.238
M1,s02,scs,20.466
M1,s02,scs,319.082
M1,s02,scs,317.749
M1,s02,scs,288.3
M1,s02,scs,275.371
M1,s02,scs,313.519
M1,s02,scs,319.443
M1,s02,scs,304.358
M1,s02,scs,235.444
M1,s02,scs,180.335
M1,s02,scs,160.294
M1,s02,scs,175.469
M1,s02,scs,312.537
M1,s02,scs,256.211
M1,s02,scs,270.395
M1,s02,scs,242.7
M1,s02,scs,10.734
M1,s02,scs,61.652
M1,s02,scs,79.628
M1,s02,scs,105.094
M1,s02,scs,120.552
M1,s02,scs,7.276
M1,s02,scs,7.276
M1,s02,scs,45.423
M1,s02,scs,55.722
M1,s02,scs,87.216
M1,s02,scs,98.651
M1,s02,scs,12.541
M1,s02,scs,30.156
M1,s02,scs,64.792
M1,s02,scs,135.057
M1,s02,scs,130.142
M1,s02,scs,103.173
M1,s02,scs,79.628
M1,s02,scs,92.113
M1,s02,scs,155.817
M1,s02,scs,165.231
M1,s02,scs,151.982
M1,s02,scs,176.865
M1,s02,scs,115.053
M1,s02,scs,137.524
M1,s02,scs,200.734
M1,s02,scs,177.572
M1,s02,scs,182.447
M1,s02,scs,154.754
M1,s02,scs,140.01
M1,s02,scs,151.936
M1,s02,scs,130.554
M1,s02,scs,207.403
M1,s02,scs,198.659
M1,s02,scs,299.755
M1,s02,scs,282.15
M1,s02,scs,309.067
M1,s02,scs,294.887
M1,s02,scs,249.536
M1,s02,scs,224.62
M1,s02,scs,312.87
M1,s02,scs,204.663
M1,s02,scs,211.51
M1,s02,scs,323.774
M1,s02,scs,259.577
M1,s02,scs,213.791
M1,s02,scs,324.293
M1,s02,scs,352.738
M1,s02,scs,353.829
M1,s02,scs,145.523
M1,s02,scs,5.294
M1,s02,scs,37.952
M1,s02,scs,24.003
M1,s02,scs,262.301
M1,s02,scs,231.745
M1,s02,scs,219.92
M1,s02,scs,212.666
M1,s02,scs,312.213
M1,s03,scd,347.309
M1,s03,scd,313.755
M1,s03,scd,295.888
M1,s03,scd,351.146
M1,s03,scd,380.169
M1,s03,scd,370.98
M1,s03,scd,422.74
M1,s03,scd,361.354
M1,s03,scd,367.691
M1,s03,scd,377.043
M1,s03,scd,317.543
M1,s03,scd,323.49
M1,s03,scd,338.943
M1,s03,scd,330.49
M1,s03,scd,320.584
M1,s03,scd,322.791
M1,s03,scd,306.852
M1,s03,scd,314.186
M1,s03,scd,300.818
M1,s03,scd,324.105
M1,s03,scd,330.681
M1,s03,scd,325.577
M1,s03,scd,333.494
M1,s03,scd,348.046
M1,s03,scd,441.805
M1,s03,scd,432.243
M1,s03,scd,486.171
M1,s03,scd,461.356
M1,s03,scd,446.005
M1,s03,scd,365.825
M1,s03,scd,347.864
M1,s03,scd,348.839
M1,s03,scd,345.898
M1,s03,scd,449.443
M1,s03,scd,437.5
M1,s03,scd,491.953
M1,s03,scd,459.271
M1,s03,scd,481.095
M1,s03,scd,372.189
M1,s03,scd,417.18
M1,s03,scd,455.386
M1,s03,scd,382.95
M1,s03,scd,376.454
M1,s03,scd,367.827
M1,s03,scd,349.231
M1,s03,scd,354.359
M1,s03,scd,371.013
M1,s03,scd,395.433
M1,s03,scd,434.958
M1,s03,scd,482.73
M1,s03,scd,482.714
M1,s03,scd,512.059
M1,s03,scd,496.52
M1,s03,scd,520.689
M1,s03,scd,526.932
M1,s03,scd,536.427
M1,s03,scd,565.675
M1,s03,scd,414.576
M1,s03,scd,428.493
M1,s03,scd,478.904
M1,s03,scd,451.055
M1,s03,scd,450.433
M1,s03,scd,498.082
M1,s03,scd,502.139
M1,s03,scd,376.374
M1,s03,scd,343.386
M1,s03,scd,489.859
M1,s03,scd,279.279
M1,s03,scd,493.249
M1,s03,scd,332.337
M1,s03,scs,20.16
M1,s03,scs,7.892
M1,s03,scs,20.16
M1,s03,scs,11.161
M1,s03,scs,8.998
M1,s03,scs,18.424
M1,s03,scs,7.276
M1,s03,scs,6.239
M1,s03,scs,6.72
M1,s03,scs,8.371
M1,s03,scs,4.499
M1,s03,scs,11.838
M1,s03,scs,30.693
M1,s03,scs,20.656
M1,s03,scs,21.793
M1,s03,scs,7.059
M1,s03,scs,14.552
M1,s03,scs,13.498
M1,s03,scs,19.532
M1,s03,scs,38.441
M1,s03,scs,59.165
M1,s03,scs,66.524
M1,s03,scs,112.258
M1,s03,scs,132.084
M1,s03,scs,161.745
M1,s03,scs,167.789
M1,s03,scs,97.116
M1,s03,scs,121.1
M1,s03,scs,53.089
M1,s03,scs,78.128
M1,s03,scs,130.028
M1,s03,scs,139.514
M1,s03,scs,38.744
M1,s03,scs,42.974
M1,s03,scs,36.87
M1,s03,scs,13.44
M1,s03,scs,51.45
M1,s03,scs,98.73
M1,s03,scs,114.238
M1,s03,scs,96.182
M1,s03,scs,85.703
M1,s03,scs,46.171
M1,s03,scs,168.132
M1,s03,scs,157.472
M1,s03,scs,147.658
M1,s03,scs,143.698
M1,s03,scs,251.401
M1,s03,scs,208.425
M1,s03,scs,167.789
M1,s03,scs,216.667
M1,s03,scs,166.839
M1,s03,scs,196.012
M1,s03,scs,193.514
M1,s03,scs,230.569
M1,s03,scs,221.728
M1,s03,scs,244.484
M1,s03,scs,234.799
M1,s03,scs,248.398
M1,s03,scs,235.444
M1,s03,scs,241.716
M1,s03,scs,242.009
M1,s03,scs,262.322
M1,s03,scs,276.59
M1,s03,scs,281.376
M1,s03,scs,294.929
M1,s03,scs,206.379
M1,s03,scs,150.37
M1,s03,scs,168.326
M1,s03,scs,266.95
M1,s03,scs,180.076
M1,s03,scs,130.262
M1,s03,scs,113.657
M1,s03,scs,126.058
M1,s03,scs,145.122
M1,s03,scs,154.351
M1,s03,scs,201.535
M1,s03,scs,129.115
M1,s03,scs,132.208
M1,s03,scs,212.959
M1,s03,scs,220.393
M1,s03,scs,245.155
M1,s03,scs,267.043
M1,s03,scs,157.605
M1,s03,scs,122.804
M1,s03,scs,129.037
M1,s03,scs,51.662
M1,s03,scs,184.197
M1,s03,scs,205.233
M1,s03,scs,234.785
M1,s03,scs,233.268
M1,s03,scs,268.801
M1,s03,scs,273.803
M1,s03,scs,221.858
M1,s03,scs,174.846
M1,s03,scs,152.35
M1,s03,scs,119.429
M1,s03,scs,224.326
M1,s03,scs,244.964
M1,s03,scs,211.506
M1,s03,scs,238.078
M1,s03,scs,256.178
M1,s03,scs,268.796
M1,s03,scs,271.665
M1,s03,scs,199.289
M1,s03,scs,193.711
M1,s03,scs,257.148
M1,s03,scs,247.748
M1,s03,scs,209.29
M1,s03,scs,219.239
M1,s03,scs,181.934
M1,s03,scs,207.158
M1,s03,scs,156.301
M1,s03,scs,65.39
M1,s03,scs,273.054
M1,s03,scs,269.989
M1,s03,scs,253.446
M1,s04,scd,370.345
M1,s04,scd,365.092
M1,s04,scd,349.561
M1,s04,scd,365.493
M1,s04,scd,371.024
M1,s04,scd,372.414
M1,s04,scd,343.114
M1,s04,scd,357.94
M1,s04,scd,456.797
M1,s04,scd,463.116
M1,s04,scd,450.723
M1,s04,scd,515.28
M1,s04,scd,476.444
M1,s04,scd,526.579
M1,s04,scd,489.554
M1,s04,scd,382.847
M1,s04,scd,364.964
M1,s04,scd,286.998
M1,s04,scd,238.744
M1,s04,scd,371.887
M1,s04,scd,390.107
M1,s04,scd,375.413
M1,s04,scd,396.715
M1,s04,scd,360.093
M1,s04,scd,394.418
M1,s04,scd,418.641
M1,s04,scd,412.694
M1,s04,scd,431.064
M1,s04,scd,441.006
M1,s04,scd,477.799
M1,s04,scd,467.652
M1,s04,scd,425.018
M1,s04,scd,182.975
M1,s04,scd,289.082
M1,s04,scd,263.97
M1,s04,scd,229.93
M1,s04,scd,272.255
M1,s04,scd,218.816
M1,s04,scd,365.757
M1,s04,scd,385.734
M1,s04,scd,470.998
M1,s04,scd,512.952
M1,s04,scd,534.675
M1,s04,scd,545.797
M1,s04,scd,504.311
M1,s04,scd,540.585
M1,s04,scd,535.996
M1,s04,scd,424.365
M1,s04,scd,391.231
M1,s04,scd,563.699
M1,s04,scd,267.943
M1,s04,scs,24.957
M1,s04,scs,7.99
M1,s04,scs,10.588
M1,s04,scs,23.84
M1,s04,scs,12.541
M1,s04,scs,8.371
M1,s04,scs,12.726
M1,s04,scs,11.838
M1,s04,scs,10.061
M1,s04,scs,32.944
M1,s04,scs,36.381
M1,s04,scs,37.539
M1,s04,scs,35.14
M1,s04,scs,20.005
M1,s04,scs,33.039
M1,s04,scs,15.784
M1,s04,scs,19.007
M1,s04,scs,27.254
M1,s04,scs,101.836
M1,s04,scs,120.17
M1,s04,scs,97.108
M1,s04,scs,87.83
M1,s04,scs,25.267
M1,s04,scs,56.43
M1,s04,scs,114.074
M1,s04,scs,67.89
M1,s04,scs,79.256
M1,s04,scs,146.212
M1,s04,scs,179.491
M1,s04,scs,108.57
M1,s04,scs,155.787
M1,s04,scs,160.367
M1,s04,scs,200.046
M1,s04,scs,215.994
M1,s04,scs,114.707
M1,s04,scs,121.145
M1,s04,scs,105.884
M1,s04,scs,153.491
M1,s04,scs,146.34
M1,s04,scs,70.457
M1,s04,scs,90.407
M1,s04,scs,56.911
M1,s04,scs,97.076
M1,s04,scs,107.359
M1,s04,scs,97.532
M1,s04,scs,141.41
M1,s04,scs,171.755
M1,s04,scs,162.322
M1,s04,scs,137.332
M1,s04,scs,146.004
M1,s04,scs,173.308
M1,s04,scs,203.671
M1,s04,scs,243.405
M1,s04,scs,226.261
M1,s04,scs,282.382
M1,s04,scs,263.016
M1,s04,scs,257.714
M1,s04,scs,177.265
M1,s04,scs,199.176
M1,s04,scs,246.083
M1,s04,scs,255.813
M1,s04,scs,261.472
M1,s04,scs,178.913
M1,s04,scs,115.249
M1,s04,scs,150.349
M1,s04,scs,170.097
M1,s04,scs,236.934
M1,s04,scs,218.577
M1,s04,scs,232.248
M1,s04,scs,275.131
M1,s04,scs,226.233
M1,s04,scs,168.534
M1,s04,scs,205.653
M1,s04,scs,223.369
M1,s04,scs,248.601
M1,s04,scs,204.663
M1,s04,scs,229.177
M1,s04,scs,233.455
M1,s04,scs,280.645
M1,s04,scs,263.329
M1,s04,scs,281.766
M1,s04,scs,170.097
M1,s04,scs,269.62
M1,s04,scs,268.253
M1,s04,scs,285.259
M1,s04,scs,194.701
M1,s04,scs,168.769
M1,s04,scs,88.518
M1,s04,scs,3.744
M1,s04,scs,155.762
M1,s04,scs,107.431
M1,s04,scs,68.119
M1,s04,scs,157.729
M1,s04,scs,132.272
M1,s04,scs,76.191
M1,s04,scs,107.148
M1,s04,scs,18.424
M1,s04,scs,273.302
M1,s04,scs,254.271
M1,s04,scs,241.517
M1,s04,scs,274.034
M1,s04,scs,256.494
M1,s04,scs,220.28
M1,s05,scd,265.57
M1,s05,scd,275.843
M1,s05,scd,297.233
M1,s05,scd,280.645
M1,s05,scd,302.755
M1,s05,scd,342.223
M1,s05,scd,339.016
M1,s05,scd,372.63
M1,s05,scd,424.316
M1,s05,scd,326.78
M1,s05,scd,336.212
M1,s05,scd,258.17
M1,s05,scd,258.766
M1,s05,scd,264.818
M1,s05,scd,240.084
M1,s05,scd,278.282
M1,s05,scd,253.342
M1,s05,scd,426.046
M1,s05,scd,383.822
M1,s05,scd,461.768
M1,s05,scd,374.408
M1,s05,scd,387.255
M1,s05,scd,405.604
M1,s05,scd,408.355
M1,s05,scd,435.856
M1,s05,scd,394.994
M1,s05,scd,171.624
M1,s05,scd,287.624
M1,s05,scd,272.644
M1,s05,scd,245.04
M1,s05,scd,303.805
M1,s05,scd,441.214
M1,s05,scd,470.778
M1,s05,scd,478.715
M1,s05,scd,484.997
M1,s05,scs,10.061
M1,s05,scs,50.933
M1,s05,scs,115.026
M1,s05,scs,105.449
M1,s05,scs,46.322
M1,s05,scs,103.24
M1,s05,scs,43.532
M1,s05,scs,26.235
M1,s05,scs,38.095
M1,s05,scs,51.223
M1,s05,scs,7.059
M1,s05,scs,40.184
M1,s05,scs,17.647
M1,s05,scs,20.16
M1,s05,scs,3.529
M1,s05,scs,20.918
M1,s05,scs,22.771
M1,s05,scs,5.145
M1,s05,scs,70.908
M1,s05,scs,83.27
M1,s05,scs,134.224
M1,s05,scs,115.681
M1,s05,scs,111.458
M1,s05,scs,148.51
M1,s05,scs,144.821
M1,s05,scs,172.844
M1,s05,scs,194.993
M1,s05,scs,201.403
M1,s05,scs,98.801
M1,s05,scs,168.566
M1,s05,scs,176.389
M1,s05,scs,121.145
M1,s05,scs,149.685
M1,s05,scs,80.918
M1,s05,scs,101.506
M1,s05,scs,85.53
M1,s05,scs,145.833
M1,s05,scs,134.398
M1,s05,scs,106.273
M1,s05,scs,129.831
M1,s05,scs,134.398
M1,s05,scs,144.503
M1,s05,scs,145.057
M1,s05,scs,179.777
M1,s05,scs,187.215
M1,s05,scs,193.349
M1,s05,scs,171.556
M1,s05,scs,75.914
M1,s05,scs,80.455
M1,s05,scs,224.953
M1,s05,scs,151.567
M1,s05,scs,144.368
M1,s05,scs,212.696
M1,s05,scs,217.892
M1,s05,scs,199.859
M1,s05,scs,223.926
M1,s05,scs,194.993
M1,s05,scs,158.379
M1,s05,scs,185.88
M1,s05,scs,202.483
M1,s05,scs,227.318
M1,s05,scs,212.546
M1,s05,scs,144.692
M1,s05,scs,152.84
M1,s05,scs,148.767
M1,s05,scs,7.276
M1,s05,scs,28.455
M1,s05,scs,11.161
M1,s05,scs,43.657
M1,s05,scs,39.951
M1,s05,scs,36.381
M1,s05,scs,84.532
M1,s05,scs,104.886
M1,s05,scs,129.566
M1,s05,scs,102.688
M1,s05,scs,200.439
M1,s05,scs,159.667
M1,s05,scs,144.692
M1,s05,scs,120.053
M1,s05,scs,28.51
M1,s05,scs,78.148
M1,s05,scs,64.564
M1,s05,scs,184.771
M1,s05,scs,221.377
M1,s06,scd,228.094
M1,s06,scd,416.426
M1,s06,scs,108.964
M1,s06,scs,178.6
M1,s06,scs,70.335
M1,s06,scs,99.359
M1,s06,scs,41.481
M1,s06,scs,99.836
M1,s06,scs,54.478
M1,s06,scs,37.539
M1,s06,scs,80.918
M1,s06,scs,10.29
M1,s06,scs,99.953
M1,s06,scs,102.324
M1,s06,scs,75.904
M1,s06,scs,90.553
M1,s06,scs,222.622
M1,s06,scs,165.781
M1,s06,scs,186.035
M1,s06,scs,75.255
M2,s10,scd,441.675
M2,s10,scd,438.609
M2,s10,scd,446.686
M2,s10,scd,450.322
M2,s10,scd,492.272
M2,s10,scd,372.342
M2,s10,scd,369.124
M2,s10,scd,345.862
M2,s10,scd,288.936
M2,s10,scd,495.073
M2,s10,scd,408.065
M2,s10,scd,373.723
M2,s10,scd,352.125
M2,s10,scd,496.721
M2,s10,scd,461.136
M2,s10,scd,474.458
M2,s10,scd,478.471
M2,s10,scd,464.03
M2,s10,scd,483.713
M2,s10,scd,337.048
M2,s10,scd,402.008
M2,s10,scd,383.789
M2,s10,scd,409.152
M2,s10,scd,424.244
M2,s10,scd,479.04
M2,s10,scd,531.176
M2,s10,scd,496.698
M2,s10,scd,479.703
M2,s10,scd,534.751
M2,s10,scd,555.148
M2,s10,scd,570.346
M2,s10,scd,498.229
M2,s10,scd,515.349
M2,s10,scd,531.725
M2,s10,scd,552.453
M2,s10,scd,596.928
M2,s10,scd,582.956
M2,s10,scd,625.347
M2,s10,scd,537.124
M2,s10,scd,472.257
M2,s10,scd,400.705
M2,s10,scd,414.902
M2,s10,scd,450.588
M2,s10,scd,437.834
M2,s10,scd,452.124
M2,s10,scd,460.923
M2,s10,scd,487.377
M2,s10,scd,509.093
M2,s10,scd,515.309
M2,s10,scd,488.901
M2,s10,scd,535.716
M2,s10,scd,528.566
M2,s10,scd,536.804
M2,s10,scd,651.574
M2,s10,scd,714.483
M2,s10,scd,728.708
M2,s10,scd,676.789
M2,s10,scd,523.125
M2,s10,scd,427.739
M2,s10,scd,494.595
M2,s10,scd,529.51
M2,s10,scd,494.749
M2,s10,scd,458.414
M2,s10,scd,446.408
M2,s10,scd,450.23
M2,s10,scd,570.669
M2,s10,scd,618.455
M2,s10,scd,667.491
M2,s10,scd,641.161
M2,s10,scd,770.71
M2,s10,scd,723.767
M2,s10,scd,684.875
M2,s10,scd,603.981
M2,s10,scd,676.895
M2,s10,scd,583.795
M2,s10,scd,678.008
M2,s10,scd,741.426
M2,s10,scd,628.114
M2,s10,scd,430.903
M2,s10,scd,713.497
M2,s10,scd,716.733
M2,s10,scd,665.096
M2,s10,scd,721.521
M2,s10,scs,12.551
M2,s10,scs,45.366
M2,s10,scs,48.635
M2,s10,scs,23.397
M2,s10,scs,71.865
M2,s10,scs,147.366
M2,s10,scs,25.961
M2,s10,scs,148.761
M2,s10,scs,5.794
M2,s10,scs,153.494
M2,s10,scs,165.327
M2,s10,scs,170.252
M2,s10,scs,189.789
M2,s10,scs,287.211
M2,s10,scs,368.42
M2,s10,scs,43.713
M2,s10,scs,8.035
M2,s10,scs,10.289
M2,s10,scs,10.289
M2,s10,scs,57.221
M2,s10,scs,3.214
M2,s10,scs,8.035
M2,s10,scs,33.128
M2,s10,scs,64.217
M2,s10,scs,67.3
M2,s10,scs,41.47
M2,s10,scs,119.563
M2,s10,scs,79.377
M2,s10,scs,60.405
M2,s10,scs,61.085
M2,s10,scs,38.9
M2,s10,scs,144.321
M2,s10,scs,160.573
M2,s10,scs,116.078
M2,s10,scs,90.06
M2,s10,scs,97.283
M2,s10,scs,144.562
M2,s10,scs,159.953
M2,s10,scs,155.009
M2,s10,scs,194.977
M2,s10,scs,212.031
M2,s10,scs,251.033
M2,s10,scs,239.86
M2,s10,scs,299.046
M2,s10,scs,349.8
M2,s10,scs,328.072
M2,s10,scs,310.352
M2,s10,scs,299.896
M2,s10,scs,341.375
M2,s10,scs,281.398
M2,s10,scs,251.757
M2,s10,scs,362.934
M2,s10,scs,401.764
M2,s10,scs,369.428
M2,s10,scs,408.201
M2,s10,scs,406.289
M2,s10,scs,417.251
M2,s10,scs,439.315
M2,s10,scs,368.844
M2,s10,scs,382.765
M2,s10,scs,444.635
M2,s10,scs,422.637
M2,s10,scs,304.051
M2,s10,scs,260.706
M2,s10,scs,372.841
M2,s10,scs,341.92
M2,s10,scs,289.695
M2,s10,scs,229.207
M2,s10,scs,301.848
M2,s10,scs,328.673
M2,s10,scs,223.798
M2,s10,scs,223.324
M2,s10,scs,160.114
M2,s10,scs,168.146
M2,s10,scs,214.254
M2,s10,scs,202.704
M2,s10,scs,222.229
M2,s10,scs,248.037
M2,s10,scs,282.83
M2,s10,scs,239.396
M2,s10,scs,277.405
M2,s10,scs,312.131
M2,s10,scs,303.269
M2,s10,scs,314.796
M2,s10,scs,329.896
M2,s10,scs,312.292
M2,s10,scs,330.045
M2,s10,scs,338.092
M2,s10,scs,304.293
M2,s10,scs,84.574
M2,s10,scs,141.785
M2,s10,scs,91.989
M2,s10,scs,183.395
M2,s10,scs,182.739
M2,s10,scs,156.196
M2,s10,scs,237.925
M2,s10,scs,223.832
M2,s10,scs,204.763
M2,s10,scs,255.922
M2,s10,scs,171.152
M2,s10,scs,307.026
M2,s10,scs,297.939
M2,s10,scs,331.906
M2,s10,scs,354.38
M2,s10,scs,370.339
M2,s10,scs,392.106
M2,s10,scs,364.052
M2,s10,scs,319.195
M2,s10,scs,365.994
M2,s10,scs,364.191
M2,s10,scs,236.542
M2,s10,scs,154.884
M2,s10,scs,124.109
M2,s10,scs,227.256
M2,s10,scs,234.778
M2,s10,scs,13.251
M2,s10,scs,279.82
M2,s10,scs,361.9
M2,s10,scs,382.401
M2,s10,scs,379.469
M2,s10,scs,347.827
M2,s10,scs,389.954
M2,s10,scs,391.579
M2,s10,scs,226.259
M2,s10,scs,137.869
M2,s10,scs,185.495
M2,s10,scs,213.958
M2,s10,scs,248.718
M2,s10,scs,191.246
M2,s10,scs,89.124
M2,s10,scs,307.682
M2,s10,scs,269.492
M2,s10,scs,140.871
M2,s10,scs,253.163
M2,s10,scs,306.862
M2,s10,scs,290.149
M2,s10,scs,327.603
M2,s10,scs,309.21
M2,s10,scs,345.123
M2,s10,scs,328.678
M2,s10,scs,328.277
M2,s10,scs,385.553
M2,s10,scs,407.368
M2,s10,scs,361.361
M2,s10,scs,362.408
M2,s10,scs,260.664
M2,s10,scs,111.068
